"Timestamp","1. Edad.","2. Sexo.","3. Nivel de estudios más elevados (o su equivalente en tu época).","4. Nivel de ingresos.","5. ¿Qué tipo de productos sueles comprar online?","6. ¿Has comprado alguna vez productos de alimentación online?","7. ¿Con qué frecuencia compras productos de alimentación online?","8. ¿Qué factores influyen más en tu decisión de compra de productos (de cualquier tipo) online?","9. ¿Con qué afirmación te identificas más?","10. ¿Qué aspectos valoras positivamente de las plataformas online que utilizas?","11. ¿Qué aspectos valoras negativamente de las plataformas online que utilizas?","12. ¿Qué aspecto o funcionalidad te resultaría más útil para una aplicación dedicada a productos y alimentos ecológicos?","13. ¿Qué te motivaría a comprar más productos ecológicos online?"
"2025/10/22 9:04:03 PM GMT+1","< 18","Mujer","Bachillerato","< 10.000","Libros y decoraciones para la habitación ","Sí","Una vez al mes.","Rapidez de entrega.;Sostenibilidad.;Transparencia sobre el producto.;Comercio local (con compra online).","Valoro positivamente que los alimentos tengan certificaciones o sellos ecológicos.","Que pueda encontrar lo que busco rápidamente y sin moverme de casa","Que me hagan sentir abrumada con demasiado contenido y publicidad","Que muestre de donde provienen esos productos","Que haya variedad para encontrar lo que busco"
"2025/10/22 9:14:19 PM GMT+1","18 - 22","Hombre","Máster","< 10.000","ropa y videojuegos","Sí","Muy de vez en cuando.","Precio.;Comercio local (con compra online).","Priorizo alimentos saludables y de calidad, incluso si son más caros.","Que sean seguras, que dispongan de buenas valoraciones y buen feedback con el cliente","Tiempos entrega largos o fallos en la web","que detalle interactivamente el origen del producto y lo compare con otros","si la web fuese de un comercio local"
"2025/10/22 9:14:56 PM GMT+1","23 - 40","Mujer","Universidad","< 10.000","Ropa","Sí","Muy de vez en cuando.","Comodidad.;Supermercados/hipermercados (con compra online).","Priorizo alimentos saludables y de calidad, incluso si son más caros.","Comodidad y facilidad","Fotos que no equivalen al producto real","Saber que tiendas cercanas a mi tienen productos ecológicos. Vídeos explicando el porqué merece la pena un producto ecológico.","Productos nuevos que no se encuentren en tiendas normales. Tablas de ingredientes fáciles de leer. Compañías de confianza. Entregas más eficaces."
"2025/10/22 9:16:09 PM GMT+1","23 - 40","Hombre","Máster","30.001 - 45.000","Ropa","No","Nunca.","Precio.;Comodidad.","Confío mucho más en los alimentos que puedo ver y tocar físicamente que en los que compro online.","El gran catálogo de productos que ofrecen ","Los métodos de pago, podrían incorporar más: paypal, Apple Pay, …","Que se muestre el origen del producto, que puedas ver de cuando está recolectado, información por la cual eso producto es ecológico, posibilidad de mostrar recetas con ese alimento, integración con una app de salud para ver los niveles nutritivos de cada comida","La confianza de saber el origen de los productos, saber que el hecho de ser online no tiene que ser más caro, envío pensado a nivel ecológico, pertenecer a un grupo social, ver que tú compra ayuda a algo más "
"2025/10/22 9:20:12 PM GMT+1","23 - 40","Mujer","Universidad","30.001 - 45.000","","No","Nunca.","","Priorizo alimentos saludables y de calidad, incluso si son más caros.","","","",""
"2025/10/22 9:38:58 PM GMT+1","41 - 50","Mujer","Grado Superior","17.001 - 30.000","Ropa y útiles de casa","Sí","Muy de vez en cuando.","Comodidad.;Rapidez de entrega.;Supermercados/hipermercados (con compra online).","Priorizo alimentos saludables y de calidad, incluso si son más caros.","Qué es comodo","No toco el producto ","Que haya una foto del producto","Nada"
"2025/10/22 11:48:34 PM GMT+1","18 - 22","Mujer","Universidad","< 10.000","Ropa","No","Nunca.","Precio.;Comodidad.","Priorizo alimentos saludables y de calidad, incluso si son más caros.","Son de fiar ","El tiempo de entrega","Que se vea la calidad de cada producto","Una plataforma de confianza "
"2025/10/23 1:22:46 AM GMT+1","18 - 22","Hombre","Universidad","< 10.000","Electrónicos y videojuegos.","No","Nunca.","Precio.;Comodidad.;Rapidez de entrega.;Transparencia sobre el producto.","Confío mucho más en los alimentos que puedo ver y tocar físicamente que en los que compro online.","Que sea conocida y fiable. Un aspecto visual limpio sin mucha publicidad ni recomendaciones excesivas.","Muchos anuncios y recomendaciones que no me interesan, interfaces muy complejas y muchos pasos extras para poder adquirir un producto.","Saber la procedencia del alimento, con un desglose de los ingredientes. Un comparador de precio con otras formas de adquirir el producto. Comprar un ""pack' para hacer una receta, como por ejemplo un ""pack carbonara"" y que te incluya los ingredientes correspondientes.","Ver que no sale mucho mas caro que ir a comprarlo físicamente y que la pagina sea fiable."
"2025/10/23 10:16:11 AM GMT+1","41 - 50","Mujer","Universidad","30.001 - 45.000","Generalmente de belleza","Sí","Cada pocas semanas.","Comodidad.;Sostenibilidad.;Comercio local (con compra online).;Supermercados/hipermercados (con compra online).","Priorizo alimentos saludables y de calidad, incluso si son más caros.","Comodidad y proximidad","No puedo escoger el producto personalmente. Me refiero a fruta y verdura, no tanto a producto empaquetado","Posibilidad de escaneo nutricional.","Descuentos por compras ecológicas. Reseñas de otros clientes en cuanto a la calidad del producto"
"2025/10/23 11:54:57 AM GMT+1","> 60","Mujer","Grado Superior","17.001 - 30.000","","No","Nunca.","Comodidad.","Confío mucho más en los alimentos que puedo ver y tocar físicamente que en los que compro online.","","","",""
